"Cancer","Gene","correlation"
"Colorectal cancer","SIGLEC7",0.00104063070492981
"Colorectal cancer","RAPGEF1",0.00104063070492981
"Colorectal cancer","CLDN22",0.00104063070492981
"Colorectal cancer","ASXL3",0.00104063070492981
"Colorectal cancer","U2AF1",0.00104063070492981
"Colorectal cancer","SAGE1",0.00104063070492981
"Colorectal cancer","CIDEB",0.00104063070492981
"Colorectal cancer","UBXN2A",0.00104063070492981
"Colorectal cancer","TP53TG1",0.00104063070492981
"Colorectal cancer","ABCA6",0.00104063070492981
"Colorectal cancer","BCHE",0.00104063070492981
"Colorectal cancer","ARHGAP11A",0.00104063070492981
"Colorectal cancer","SOX21",0.00104063070492981
"Colorectal cancer","STRA6",0.00104063070492981
"Colorectal cancer","RGS10",0.00104063070492981
"Colorectal cancer","ALKBH3",0.00104063070492981
"Colorectal cancer","ALKBH2",0.00104063070492981
"Stomach cancer","CCL2",0.00103959643097389
"Stomach cancer","RPRM",0.00103863755555483
"Bile duct cancer","LEP",0.00103766394554802
"Bile duct cancer","CDA",0.00103748490528935
"Liver cancer","PHF6",0.00103691224373497
"Colorectal cancer","ENPP3",0.0010362916108527
"Pancreatic Cancer","ID1",0.00103428446253854
"Pancreatic Cancer","PTPN14",0.00103097039986193
"Stomach cancer","TWIST1",0.0010305161000775
"Stomach cancer","PTGER2",0.00102760763888623
"Pancreatic Cancer","CDKN2B",0.00102590275812241
"Pancreatic Cancer","KRT8",0.00102257443966941
"Esophageal cancer","NHS",0.00102245029847687
"Stomach cancer","ISX",0.00102215053662793
"Bile duct cancer","FLT4",0.00102183461341803
"Esophageal cancer","ZBTB17",0.00102176593195661
"Colorectal cancer","AGO2",0.00101946836133842
"Pancreatic Cancer","GPRC5A",0.00101783891367075
"Pancreatic Cancer","CD7",0.0010160642642646
"Liver cancer","ASB9",0.00101384894760258
"Liver cancer","HSD3B1",0.00101353610354562
"Liver cancer","ST3GAL6",0.00101353610354562
"Liver cancer","VPS4A",0.00101353610354562
"Liver cancer","CCNK",0.00101353610354562
"Liver cancer","VLDLR",0.00101207051441923
"Bile duct cancer","UGT1A10",0.00101124545843737
"Pancreatic Cancer","FZD10",0.00101110249477204
"Liver cancer","MAP4K3",0.00101068783096804
"Pancreatic Cancer","FGA",0.00101013921011322
"Pancreatic Cancer","EEA1",0.00101013921011322
"Stomach cancer","MEF2A",0.00100830411106794
"Colorectal cancer","GSTO1",0.00100826069702239
"Stomach cancer","GLI3",0.0010055460449272
"Liver cancer","ULK1",0.00100527787427215
"Liver cancer","SOCS6",0.00100118867411045
"Bile duct cancer","PTGER2",0.00100116354177125
"Colorectal cancer","ETS1",0.00099973552047208
"Stomach cancer","LDLR",0.000998043140718652
"Colorectal cancer","NFKBIA",0.000997879009525897
"Stomach cancer","FUS",0.00099766656985471
"Liver cancer","MCAT",0.000996970951575162
"Liver cancer","IGFBP3",0.000995798526009964
"Esophageal cancer","ENO2",0.000995381681521486
"Liver cancer","MT1H",0.00099462456995676
"Pancreatic Cancer","GSPT2",0.000993420748494887
"Colorectal cancer","KLRK1",0.000986420554017215
"Esophageal cancer","YY1AP1",0.000986359886890588
"Liver cancer","SPARC",0.000986204020114153
"Pancreatic Cancer","NOS1",0.000983195639965704
"Liver cancer","SELENBP1",0.000983116406547396
"Stomach cancer","AMACR",0.000981907337291729
"Esophageal cancer","ADCY1",0.000980939862618158
"Esophageal cancer","TFG",0.000980939862618158
"Stomach cancer","DEFA6",0.000980832792248586
"Stomach cancer","LIMK1",0.000980654288271
"Liver cancer","TSC2",0.000979109367956293
"Liver cancer","CXCL1",0.00097834345847748
"Colorectal cancer","AXL",0.000976825884968998
"Pancreatic Cancer","CSF1",0.000974642220952997
"Esophageal cancer","SLC22A3",0.000972536843615257
"Liver cancer","PLA2G7",0.000970513638015053
"Liver cancer","MT1X",0.000970513638015053
"Liver cancer","MDM4",0.000967878859504065
"Pancreatic Cancer","TRIM31",0.000967664801170142
"Stomach cancer","IL10RA",0.000966666430309641
"Stomach cancer","SDCCAG8",0.000966666430309641
"Pancreatic Cancer","PLA2G1B",0.000963778743116622
"Colorectal cancer","B2M",0.000963343880656234
"Pancreatic Cancer","FBN2",0.000959688318757594
"Pancreatic Cancer","UCP3",0.00095951095666568
"Liver cancer","XRCC1",0.000958499248815126
"Bile duct cancer","ANXA10",0.000957454105930617
"Liver cancer","GPT",0.000957438167582102
"Colorectal cancer","DDR1",0.000954847149941492
"Stomach cancer","GADD45G",0.000952769527357671
"Stomach cancer","EFNA3",0.0009526975183944
"Stomach cancer","MYEOV",0.000951583303715552
"Colorectal cancer","ARAF",0.00094865264640861
"Stomach cancer","CAPN2",0.000947184887716029
"Liver cancer","SPARCL1",0.000946592681939192
"Liver cancer","PARK2",0.000943670366768308
"Esophageal cancer","SOX10",0.00094292159415365
"Esophageal cancer","PDCD10",0.000942688507684336
"Liver cancer","TRIM63",0.000942644239464544
"Bile duct cancer","APEX1",0.000942254214692674
"Colorectal cancer","TRA2B",0.000942144511708301
"Colorectal cancer","ADAMTS8",0.000942144511708301
"Stomach cancer","PNMA2",0.000938403787082808
"Liver cancer","AGO1",0.000938269862740566
"Stomach cancer","SLPI",0.0009379838668235
"Stomach cancer","ACTR3",0.0009379838668235
"Stomach cancer","COL3A1",0.0009379838668235
"Esophageal cancer","RALA",0.000937816050047257
"Colorectal cancer","NCF4",0.000935670164209241
"Liver cancer","SERPINF2",0.000935355236502274
"Bile duct cancer","LTB",0.000935219153854867
"Stomach cancer","HSPB1",0.000934731818296437
"Liver cancer","CCR3",0.0009332206412999
"Esophageal cancer","HNRNPD",0.000932264242434698
"Stomach cancer","COL6A3",0.000931909482466592
"Pancreatic Cancer","NUAK2",0.000930605780378915
"Stomach cancer","GCG",0.000930075209508105
"Colorectal cancer","MMP28",0.000929457960733105
"Bile duct cancer","SPARCL1",0.00092859355887008
"Liver cancer","ASS1",0.000925071523758342
"Liver cancer","AIFM3",0.000925071523758342
"Colorectal cancer","VIT",0.000921991379339602
"Esophageal cancer","TLR9",0.000921591505350333
"Liver cancer","CYP2D6",0.000921311274584905
"Colorectal cancer","CELF2",0.000918058475945687
"Stomach cancer","CXADR",0.000917334567370485
"Liver cancer","UNC5C",0.000915931555604278
"Bile duct cancer","DPYD",0.000915548416078832
"Pancreatic Cancer","KLRK1",0.0009141675390156
"Stomach cancer","KIF20A",0.000912857727043825
"Colorectal cancer","ATP5A1",0.000912102461619232
"Liver cancer","CD1D",0.000911908670916601
"Esophageal cancer","RBL2",0.000908169133204136
"Esophageal cancer","FOXO3",0.000907615052939499
"Esophageal cancer","ST7L",0.00090711541922892
"Colorectal cancer","PRMT1",0.000906848183207723
"Liver cancer","MEF2A",0.000906531325875753
"Liver cancer","SLC22A6",0.000906531325875753
"Colorectal cancer","EHMT2",0.000906321183669496
"Bile duct cancer","CAV2",0.000905615933755544
"Bile duct cancer","C8orf17",0.000904396506854588
"Colorectal cancer","ANXA2",0.00090217702954798
"Stomach cancer","FMNL3",0.000901733985117776
"Pancreatic Cancer","PKHD1",0.000901243775214356
"Stomach cancer","DNMT3B",0.000900790542019059
"Pancreatic Cancer","CD34",0.000899866618782131
"Colorectal cancer","LIMK2",0.000899125216222831
"Liver cancer","MZB1",0.000898568582908507
"Stomach cancer","PRDM5",0.000897352732969756
"Liver cancer","ZBP1",0.000896474589482336
"Stomach cancer","MAP3K5",0.000892701351746185
"Esophageal cancer","MSH3",0.000892570928790757
"Liver cancer","GDF15",0.000892178920640279
"Esophageal cancer","NRG4",0.000890283954597147
"Stomach cancer","MIR149",0.000889848634711252
"Colorectal cancer","MVD",0.000888473278987855
"Liver cancer","GLYAT",0.000884560893233356
"Stomach cancer","FOXH1",0.000883344233951594
"Colorectal cancer","ACAA1",0.000882749107194016
"Colorectal cancer","ULBP3",0.00088273759821732
"Colorectal cancer","MIR200B",0.00088273759821732
"Colorectal cancer","BNIP3L",0.00088273759821732
"Colorectal cancer","FMN2",0.00088273759821732
"Colorectal cancer","PSMA5",0.00088273759821732
"Colorectal cancer","PTCHD3",0.00088273759821732
"Colorectal cancer","RRAS",0.00088273759821732
"Colorectal cancer","NTRK2",0.00088273759821732
"Colorectal cancer","SIAH1",0.000882016172285135
"Esophageal cancer","RAB11A",0.000877372917803915
"Esophageal cancer","XPC",0.000876967587963394
"Stomach cancer","TPO",0.000876931095969373
"Bile duct cancer","EIF2AK3",0.00087686903369902
"Stomach cancer","BMP2",0.000876276088650694
"Colorectal cancer","DACT3",0.000876266875723399
"Colorectal cancer","MEST",0.000875601342386493
"Bile duct cancer","GRN",0.000875201862634832
"Colorectal cancer","BCL10",0.000873421196745549
"Stomach cancer","FGFR1",0.000871416960285638
"Esophageal cancer","TYR",0.00086960077417139
"Bile duct cancer","PLAGL2",0.000869171115290275
"Esophageal cancer","MCAM",0.000869073533840236
"Esophageal cancer","MYOG",0.000869073533840236
"Esophageal cancer","NPY",0.000868635131431857
"Esophageal cancer","GPX7",0.000867435752325716
"Liver cancer","PAPSS1",0.000866461366839928
"Pancreatic Cancer","FAM3C",0.000865236053719863
"Stomach cancer","IL7R",0.000864566252953172
"Colorectal cancer","NPPB",0.000864042417748425
"Esophageal cancer","EPC2",0.000863998831426519
"Pancreatic Cancer","ALPL",0.000861442034224529
"Liver cancer","SFRP4",0.000859720261407923
"Colorectal cancer","HIPK1",0.000858878954284457
"Liver cancer","MTOR",0.000857335955663227
"Stomach cancer","MAP3K7",0.000856864650903912
"Liver cancer","IFNA1",0.000856677492846616
"Colorectal cancer","STC1",0.000854467550717546
"Esophageal cancer","ATF6",0.000852683418837282
"Colorectal cancer","KLK3",0.000852612210241495
"Bile duct cancer","TNFRSF6B",0.000852575670265452
"Esophageal cancer","IL7R",0.000852362247064374
"Stomach cancer","IGSF11",0.000851898961834309
"Stomach cancer","TGFA",0.00085110940913622
"Bile duct cancer","CYP2D6",0.000850844925135972
"Bile duct cancer","CD44",0.000849933061719307
"Pancreatic Cancer","SLC2A2",0.000848300438771857
"Esophageal cancer","CR2",0.000844595834045991
"Liver cancer","HDAC9",0.000844510265133613
"Liver cancer","IL17F",0.000844428425788032
"Colorectal cancer","NID1",0.000843862057260244
"Stomach cancer","CTSL",0.000843402563852646
"Stomach cancer","NBN",0.000843402563852646
"Stomach cancer","LATS2",0.000839859660143539
"Bile duct cancer","APOB",0.000839805231990146
"Esophageal cancer","KISS1R",0.000839095401396054
"Colorectal cancer","SYMPK",0.00083803351765788
"Colorectal cancer","GSC",0.000837377363814092
"Liver cancer","E2F2",0.000836103177463032
"Liver cancer","DDB1",0.000835218106417025
"Stomach cancer","MACC1",0.000834349909941615
"Liver cancer","ENPP3",0.000833398441327692
"Bile duct cancer","PAPSS1",0.000833093083435354
"Colorectal cancer","LTBR",0.0008328221809852
"Esophageal cancer","TMPRSS13",0.00083234661681134
"Stomach cancer","CBX5",0.000831043545227657
"Pancreatic Cancer","LAMA2",0.000830063759453881
"Colorectal cancer","TKT",0.00082972345614359
"Stomach cancer","MIR93",0.000826633373255068
"Bile duct cancer","PHB",0.000825250275489549
"Liver cancer","KLF10",0.000824832050862704
"Pancreatic Cancer","CDK16",0.000824766342910856
"Pancreatic Cancer","GTF2I",0.000824766342910856
"Pancreatic Cancer","GNA11",0.000824766342910856
"Pancreatic Cancer","RFC4",0.000824766342910856
"Bile duct cancer","PML",0.000822112645048181
"Colorectal cancer","ABCA5",0.000822001231518961
"Stomach cancer","GSTM3",0.000821935793457495
"Stomach cancer","NLN",0.000820603471774919
"Stomach cancer","DNASE1",0.000819408492127697
"Liver cancer","TNFRSF17",0.000818071314142933
"Colorectal cancer","RASSF1",0.000817427055880722
"Pancreatic Cancer","PGF",0.000815669791778998
"Colorectal cancer","TSG101",0.000815097279130465
"Esophageal cancer","HOXA13",0.000814518629645053
"Liver cancer","ING2",0.000813866397480575
"Bile duct cancer","FZD1",0.000813727793395376
"Colorectal cancer","TRPM1",0.000812567751571982
"Colorectal cancer","INVS",0.000812567751571982
"Esophageal cancer","CAPZA1",0.000811758901123644
"Pancreatic Cancer","NFE2L2",0.000811292282256779
"Esophageal cancer","PZP",0.00081072804599646
"Colorectal cancer","NHLH1",0.000810221670441724
"Bile duct cancer","CLOCK",0.000807809373603325
"Bile duct cancer","PTEN",0.000807315480464493
"Stomach cancer","FOXO1",0.000806779381297858
"Stomach cancer","TNS4",0.000806638707180825
"Bile duct cancer","AXL",0.000804645824992527
"Colorectal cancer","CD226",0.000803782639439182
"Stomach cancer","CD99",0.000802523621304919
"Esophageal cancer","MACROD2",0.000800924355302833
"Esophageal cancer","BNIP3L",0.000800924355302833
"Esophageal cancer","ONECUT2",0.000800924355302833
"Liver cancer","TIGAR",0.000800797433954856
"Stomach cancer","EREG",0.000800377657983163
"Stomach cancer","MUT",0.000798907732917708
"Stomach cancer","PNPT1",0.000798401169122613
"Stomach cancer","SRR",0.000798401169122613
"Stomach cancer","SRY",0.000797709107686415
"Stomach cancer","RAB3D",0.000797130534346918
"Stomach cancer","RAB26",0.000797130534346918
"Stomach cancer","SDPR",0.000797130534346918
"Stomach cancer","PDIA4",0.000797130534346918
"Stomach cancer","DNAJC3",0.000797130534346918
"Stomach cancer","CASC3",0.000797130534346918
"Stomach cancer","MIR382",0.000797130534346918
"Stomach cancer","DTYMK",0.000797130534346918
"Stomach cancer","MORC2",0.000797130534346918
"Stomach cancer","GALNT1",0.000797130534346918
"Stomach cancer","GALNT4",0.000797130534346918
"Stomach cancer","UCK2",0.000797130534346918
"Stomach cancer","RHOD",0.000797130534346918
"Stomach cancer","PTGFR",0.000797130534346918
"Stomach cancer","FAM120A",0.000797130534346918
"Stomach cancer","LDHC",0.000797130534346918
"Stomach cancer","G6PC2",0.000797130534346918
"Stomach cancer","PGAM5",0.000797130534346918
"Stomach cancer","DOCK1",0.000797130534346918
"Stomach cancer","UXT",0.000797130534346918
"Stomach cancer","EP400",0.000797130534346918
"Stomach cancer","PTENP1",0.000797130534346918
"Stomach cancer","CUBN",0.000797130534346918
"Stomach cancer","DEFB1",0.000797130534346918
"Stomach cancer","PVRL3",0.000797130534346918
"Stomach cancer","ZFP64",0.000797130534346918
"Stomach cancer","PGA5",0.000797130534346918
"Stomach cancer","STAR",0.000797130534346918
"Stomach cancer","ANO5",0.000797130534346918
"Stomach cancer","TAOK1",0.000797130534346918
"Stomach cancer","CCNI",0.000797130534346918
"Stomach cancer","ZNF208",0.000797130534346918
"Stomach cancer","SHF",0.000797130534346918
"Stomach cancer","KRT10",0.000797130534346918
"Stomach cancer","MMP23B",0.000797130534346918
"Stomach cancer","AATK",0.000797130534346918
"Stomach cancer","LTBP3",0.000797130534346918
"Stomach cancer","UCK1",0.000797130534346918
"Stomach cancer","DHRS9",0.000797130534346918
"Stomach cancer","AARS",0.000797130534346918
"Stomach cancer","DNAJB1",0.000797130534346918
"Stomach cancer","LAMA3",0.000797130534346918
"Stomach cancer","ANKRD12",0.000797130534346918
"Stomach cancer","TMEM207",0.000797130534346918
"Stomach cancer","SAGE1",0.000797130534346918
"Stomach cancer","SURF1",0.000797130534346918
"Stomach cancer","PIGS",0.000797130534346918
"Stomach cancer","ARAP3",0.000797130534346918
"Stomach cancer","PSMB1",0.000797130534346918
"Stomach cancer","TMED6",0.000797130534346918
"Stomach cancer","COG8",0.000797130534346918
"Stomach cancer","PDS5B",0.000797130534346918
"Liver cancer","FUT2",0.00079554804458801
"Esophageal cancer","CYP2C19",0.000792554105154732
"Liver cancer","KIF23",0.000792411481540933
"Liver cancer","HM13",0.000792411481540933
"Liver cancer","SMC1A",0.000792411481540933
"Liver cancer","TNFRSF11A",0.000792411481540933
"Colorectal cancer","VSIG1",0.000790463695405192
"Liver cancer","GPX4",0.000788602885588194
"Colorectal cancer","GPI",0.000787901801503441
"Pancreatic Cancer","HSPA8",0.000787854650865084
"Bile duct cancer","CNRIP1",0.000786597022363068
"Bile duct cancer","AMBP",0.000782034940685523
"Stomach cancer","NAA10",0.00077956149794663
"Stomach cancer","CALR",0.00077903542210659
"Colorectal cancer","IL21",0.000776530813878755
"Stomach cancer","HSD17B2",0.000774520708873785
"Bile duct cancer","HHAT",0.000772422348841574
"Bile duct cancer","TEC",0.000771555439942856
"Liver cancer","GPAA1",0.000766084951291519
"Liver cancer","SLC10A1",0.000764991809813347
"Pancreatic Cancer","TERT",0.000764118799764862
"Esophageal cancer","EMP1",0.000764001863653338
"Pancreatic Cancer","ROR1",0.000763281535185688
"Esophageal cancer","ADAR",0.000762722889920915
"Colorectal cancer","TIRAP",0.000762450551711595
"Colorectal cancer","NNT",0.000762450551711595
"Bile duct cancer","AGA",0.000761830405579224
"Liver cancer","UBE2C",0.000760942097197974
"Colorectal cancer","RAD51",0.000758739982432378
"Liver cancer","DDIT4",0.00075728177607439
"Stomach cancer","FYN",0.00075492477309946
"Pancreatic Cancer","NR4A1",0.000754268397417508
"Stomach cancer","SPAG5",0.000753950161275811
"Pancreatic Cancer","CDK9",0.000752007617109476
"Colorectal cancer","CAV1",0.000751590206981139
"Colorectal cancer","CLDN2",0.000748942382727559
"Liver cancer","AKAP12",0.000745193227635481
"Pancreatic Cancer","MSR1",0.000744480985951421
"Liver cancer","MPG",0.000743601723428602
"Colorectal cancer","FDX1",0.000742812245613772
"Pancreatic Cancer","PTHLH",0.00074235773273995
"Stomach cancer","MAF",0.000740758533494686
"Colorectal cancer","FDXR",0.000739445423823091
"Colorectal cancer","KCNH1",0.000739038775595312
"Liver cancer","MIR221",0.000737889088304161
"Colorectal cancer","CASP9",0.000736895006771717
"Esophageal cancer","DERL1",0.000735809018104227
"Pancreatic Cancer","PDGFA",0.000732734105035548
"Esophageal cancer","LRP1B",0.000732451394134913
"Stomach cancer","MSLN",0.000732428102433423
"Stomach cancer","NDRG1",0.000731664284798609
"Stomach cancer","EFNA5",0.000731609083996242
"Pancreatic Cancer","EPHA2",0.000729810681158946
"Colorectal cancer","CMTM3",0.00072859416040256
"Stomach cancer","XRCC3",0.000728505612524801
"Esophageal cancer","ANKRD36B",0.000728447432648909
"Bile duct cancer","AFM",0.000726874798993986
"Colorectal cancer","UGDH",0.000726780816047269
"Colorectal cancer","SNTA1",0.000726780816047269
"Esophageal cancer","F9",0.000726631551694696
"Colorectal cancer","PTGR1",0.000726618307111472
"Colorectal cancer","PGK1",0.000725642914463626
"Pancreatic Cancer","NMU",0.000724397020092182
"Stomach cancer","GREM2",0.000719259807439853
"Liver cancer","ZFHX3",0.000716660485829521
"Colorectal cancer","TRPV5",0.000716338001222689
"Stomach cancer","G3BP1",0.00071571490949751
"Esophageal cancer","XRCC6",0.00071550008902478
"Colorectal cancer","STEAP3",0.000715063422503834
"Pancreatic Cancer","DISP3",0.000714264765106948
"Pancreatic Cancer","HHIPL2",0.000714264765106948
"Pancreatic Cancer","TRPM4",0.000714264765106948
"Pancreatic Cancer","PRDM4",0.000714264765106948
"Pancreatic Cancer","RAB40AL",0.000714264765106948
"Pancreatic Cancer","IDO1",0.000714264765106948
"Pancreatic Cancer","SPRY1",0.000714264765106948
"Pancreatic Cancer","ADRB1",0.000714264765106948
"Pancreatic Cancer","ARHGAP24",0.000714264765106948
"Pancreatic Cancer","RPS15",0.000714264765106948
"Pancreatic Cancer","GPC6",0.000714264765106948
"Pancreatic Cancer","S100A13",0.000714264765106948
"Pancreatic Cancer","SORBS3",0.000714264765106948
"Pancreatic Cancer","HABP2",0.000714264765106948
"Pancreatic Cancer","TPD52",0.000714264765106948
"Pancreatic Cancer","NEDD4L",0.000713431274479146
"Esophageal cancer","ABCB11",0.000713099644346087
"Stomach cancer","TNFAIP1",0.000712797053256237
"Stomach cancer","CXCL5",0.000712797053256237
"Liver cancer","PTGR1",0.000709133613939428
"Pancreatic Cancer","NEK2",0.000706688852792464
"Liver cancer","TXNRD2",0.000706622817066835
"Bile duct cancer","SEPT9",0.000706239828768945
"Stomach cancer","PTAFR",0.00070499489370647
"Bile duct cancer","PTGER4",0.000704860625335133
"Colorectal cancer","LPAR1",0.000704549011485608
"Bile duct cancer","GDI2",0.000703550739207994
"Bile duct cancer","NUAK1",0.000700187748542505
"Esophageal cancer","MIR301A",0.000699078083431685
"Stomach cancer","PPA1",0.000698390869198036
"Stomach cancer","PTPN6",0.000698098648230862
"Stomach cancer","PTMS",0.000697020850572707
"Stomach cancer","UPRT",0.000694437663672154
"Liver cancer","YY1",0.000692037843044026
"Colorectal cancer","C1R",0.000691909084583405
"Pancreatic Cancer","SLC22A3",0.000691297752898097
"Liver cancer","TAB2",0.000690747943704661
"Stomach cancer","XBP1",0.000690274839784183
"Esophageal cancer","PNKD",0.00068993983957311
"Pancreatic Cancer","GLI3",0.000686949838586563
"Colorectal cancer","TLR1",0.000686841688483643
"Pancreatic Cancer","FOXO1",0.00068461063374457
"Pancreatic Cancer","RAP1B",0.000684474789326586
"Colorectal cancer","CBFB",0.000683758986509654
"Colorectal cancer","OPN3",0.000683758986509654
"Colorectal cancer","PGLYRP2",0.000683758986509654
"Colorectal cancer","LRRFIP2",0.000683758986509654
"Colorectal cancer","CLPTM1L",0.0006828268754034
"Bile duct cancer","CYTL1",0.000681209341580403
"Bile duct cancer","PRKG2",0.000681209341580403
"Liver cancer","CAPN9",0.000680513830529702
"Bile duct cancer","RASSF1",0.000676858911566185
"Bile duct cancer","CKS1B",0.000676454132486682
"Esophageal cancer","CSHL1",0.000675116220581019
"Stomach cancer","BMP4",0.000674803379097904
"Colorectal cancer","PKLR",0.000672413878590218
"Esophageal cancer","E2F1",0.000671478830569223
"Bile duct cancer","CCDC6",0.000670323798173799
"Pancreatic Cancer","TPR",0.000670008487076482
"Stomach cancer","WWOX",0.000665102655732985
"Colorectal cancer","DHCR7",0.000664039798081257
"Pancreatic Cancer","ADK",0.000663815593600723
"Colorectal cancer","KRT18",0.000663706849936423
"Pancreatic Cancer","M6PR",0.000662338800919578
"Pancreatic Cancer","RUNX2",0.00066176925916757
"Pancreatic Cancer","LIN28A",0.000660563107792904
"Pancreatic Cancer","PTTG1",0.000659921662786963
"Pancreatic Cancer","FADD",0.000659880910666356
"Colorectal cancer","UHRF2",0.000656472681846159
"Liver cancer","LAMB1",0.000655818203981034
"Liver cancer","GSTA5",0.000655818203981034
"Liver cancer","HLA-DOA",0.000655818203981034
"Liver cancer","SSB",0.000655818203981034
"Colorectal cancer","FGF9",0.00065572162617772
"Pancreatic Cancer","ALDH1L1",0.000655452631881342
"Colorectal cancer","SFRP1",0.000654693489457152
"Colorectal cancer","BORA",0.000654478838207896
"Liver cancer","DKK3",0.000652443583046634
"Stomach cancer","USP22",0.000648649889788056
"Stomach cancer","CNPY2",0.000646849497984003
"Esophageal cancer","WNT2",0.000644677488016789
"Bile duct cancer","TUSC3",0.000644139686449342
"Stomach cancer","GHR",0.000644115839866007
"Esophageal cancer","BIRC2",0.00064064540020229
"Pancreatic Cancer","C14orf166",0.000638855766729568
"Pancreatic Cancer","PLVAP",0.000638855766729568
"Stomach cancer","TUSC2",0.000637532426209604
"Pancreatic Cancer","CDKN1B",0.000637194258462541
"Esophageal cancer","HMOX1",0.000634698120465141
"Liver cancer","ANXA1",0.000632664238315768
"Stomach cancer","IL1RL1",0.000632388410849443
"Stomach cancer","GPR1",0.000632388410849443
"Esophageal cancer","RHOU",0.000632256401260317
"Stomach cancer","LAMP1",0.000631979417699136
"Liver cancer","TSPAN8",0.00063138367524729
"Pancreatic Cancer","FOXO3",0.000629504086672036
"Liver cancer","CTSA",0.000628490460175871
"Liver cancer","WWTR1",0.000626874369868304
"Pancreatic Cancer","CDK6",0.00062433386098811
"Pancreatic Cancer","PPARG",0.000623969204864959
"Pancreatic Cancer","MBD4",0.00062245049804594
"Colorectal cancer","PMS1",0.000622132848984597
"Bile duct cancer","CDO1",0.000622065363589327
"Pancreatic Cancer","CDR2",0.000620939443125704
"Esophageal cancer","GPT2",0.000620387334309443
"Esophageal cancer","DBT",0.000620387334309443
"Esophageal cancer","CYP11A1",0.000620387334309443
"Pancreatic Cancer","HOXA5",0.00062014025048742
"Esophageal cancer","MYOD1",0.000618484841302533
"Esophageal cancer","SCGN",0.000616315080944004
"Liver cancer","NQO2",0.000614552753912606
"Liver cancer","CAPZA2",0.000613793354459172
"Liver cancer","CPE",0.000613793354459172
"Liver cancer","MYF5",0.000613793354459172
"Liver cancer","TSLP",0.000613793354459172
"Liver cancer","ACTL6A",0.000613793354459172
"Liver cancer","FOXR1",0.000613793354459172
"Liver cancer","PAX4",0.000613793354459172
"Liver cancer","NME1-NME2",0.000613793354459172
"Liver cancer","UGT2B10",0.000613793354459172
"Liver cancer","CHD9",0.000613793354459172
"Liver cancer","RAB22A",0.000613793354459172
"Liver cancer","MYO1E",0.000613793354459172
"Esophageal cancer","XRCC5",0.000612094408628461
"Esophageal cancer","TAGLN2",0.00061001733491917
"Liver cancer","CYLD",0.000609670861896817
"Bile duct cancer","PCLO",0.000609290192486997
"Esophageal cancer","COL1A1",0.00060529997570085
"Stomach cancer","SERPINH1",0.000603929029623288
"Colorectal cancer","CASP8",0.000603795264713737
"Bile duct cancer","ULBP2",0.000603743029054674
"Bile duct cancer","SUZ12",0.000603498959169072
"Stomach cancer","PRB2",0.000603286692084777
"Liver cancer","TIMP2",0.000599025716888123
"Stomach cancer","XRCC6",0.000598819615604496
"Colorectal cancer","COL4A2",0.000598328115906388
"Esophageal cancer","ALDH1A3",0.000596184520775518
"Colorectal cancer","USP14",0.000595655452465501
"Colorectal cancer","CRKL",0.000595340727125016
"Liver cancer","CCNE2",0.000594970588167375
"Colorectal cancer","KCMF1",0.000594545670788702
"Colorectal cancer","CD22",0.000593077861922959
"Liver cancer","MIR196A2",0.000590485059494327
"Pancreatic Cancer","FOXP3",0.000589863337905092
"Stomach cancer","WRN",0.000589573747929133
"Colorectal cancer","SNCA",0.000589551046210689
"Liver cancer","CPB2",0.000589410428970901
"Liver cancer","FOXA2",0.000588247408214182
"Esophageal cancer","IL23R",0.000587132138825745
"Pancreatic Cancer","TFAP4",0.000582490318944913
"Stomach cancer","TEK",0.000582180233348416
"Stomach cancer","LTB4R",0.000581990769475535
"Liver cancer","CCL15",0.000579523832298886
"Pancreatic Cancer","PAX6",0.000576629953090796
"Bile duct cancer","RET",0.000572215261096707
"Stomach cancer","HES2",0.000572127349162605
"Stomach cancer","NETO2",0.000572127349162605
"Bile duct cancer","ANPEP",0.000572015636035336
"Colorectal cancer","VEGFA",0.000571453615909265
"Pancreatic Cancer","PDGFB",0.000571178056051255
"Colorectal cancer","MYD88",0.000571125032290195
"Pancreatic Cancer","PENK",0.000569996470963033
"Stomach cancer","MIR29A",0.000568051074944801
"Colorectal cancer","GNAQ",0.000567391786530692
"Colorectal cancer","NAP1L1",0.000567217209014869
"Stomach cancer","OPCML",0.000564581861426842
"Liver cancer","CCNG1",0.000562446394719138
"Stomach cancer","SLC16A4",0.000560794962385346
"Liver cancer","AMACR",0.000560725536184114
"Esophageal cancer","MIR29A",0.000559973191442462
"Colorectal cancer","PSRC1",0.000559478309343691
"Colorectal cancer","EIF5A",0.000558988255201286
"Colorectal cancer","FRZB",0.000557624547117128
"Colorectal cancer","DCN",0.00055747337691307
"Stomach cancer","CTRL",0.000557339186666535
"Bile duct cancer","ABCC11",0.000553889694468927
"Esophageal cancer","ENPP3",0.000553635403600455
"Stomach cancer","ERCC5",0.000553081270434399
"Liver cancer","NOX4",0.000552215411426117
"Pancreatic Cancer","CADM1",0.000551651503447298
"Bile duct cancer","MME",0.000549428429816754
"Colorectal cancer","TOB1",0.000549379683107321
"Liver cancer","AHRR",0.000547231134218692
"Colorectal cancer","CTSC",0.000545943551067346
"Stomach cancer","FLNB",0.000544370218332984
"Pancreatic Cancer","FGF1",0.000543305185567456
"Pancreatic Cancer","TNK2",0.000541275298412714
