CHOL(386),COCA(2005),ESCA(514),LIHC(1163),PAAD(389),STAD(928),3149 all,44 common,cooccurence(5955)
KIAA0101,BCL9,SCN8A,DIO3,ADAM23,HAVCR2,KIAA0101,,IL19
KIF18A,BLM,SMARCA2,AGTR1,GSTM2,HSPD1,KIF18A,,PDCD1
KIF20A,JAK1,SMARCA4,BSG,WWC2,ICOS,KIF20A,,TLR4
KIF2C,LAMA1,SOX5,CCL3,TLR3,ID1,KIF2C,,CCR3
KLB,PRKDC,SPTBN1,CD1D,LEP,IL24,KLB,,CDX1
KMO,NGF,THBS2,CD82,SBNO2,KL,KMO,,EIF4E
LRG1,ADIPOQ,TJP1,CDKN3,PLXNA4,KRT8,LRG1,,RTKN
LZIC,CCL21,TNC,CLDN2,SLC39A3,L1CAM,LZIC,,TERF1
MAPK13,AXL,TRIO,CYR61,TWIST2,LPAR1,MAPK13,,POT1
MARK2,BUB1,TRRAP,DIO2,CDC42BPA,MMP10,MARK2,,DMC1
MECP2,FGFR2,VCAN,ETS2,HHIPL2,MT2A,MECP2,,PSCA
MFGE8,HPSE,VWF,FHL2,XRCC5,NDRG2,MFGE8,,TFF1
MRC1,MST1,WNK1,FUT6,NDN,PDX1,MRC1,,GAPDH
MTBP,NDRG2,WNK2,GADD45A,CAPN10,PODXL,MTBP,,STC2
MTSS1,MAP2,ZBTB20,GJB2,AMY2A,RAD51,MTSS1,,MIR148A
NCL,MRC1,ZNF208,LPAR1,BCL9,RBP2,NCL,,PTPRA
NDC80,PLCG1,PDE4D,MAG,AKT3,SLIT3,NDC80,,PTPRB
NF2,NCOA3,FOXC1,MAP3K5,MTNR1A,SPAG5,NF2,,PTPRZ1
NR1H3,VCAM1,GMDS,MT1G,REG4,STC2,NR1H3,,CCL18
NR1I2,APC2,ANG,MYBL2,ACR,SULF1,NR1I2,,ILK
NT5E,CSNK2A1,RNASE2,NGFR,VCAM1,SYP,NT5E,,MAP3K14
NTHL1,UGT1A6,SALL2,ORM1,RPS15,TGFBR3,NTHL1,,CCNB1
ORM2,SST,PRMT5,PLA2G4A,ARID4B,ATP4A,ORM2,,ZFP90
OSBP2,SHC1,SLC7A8,PNMA2,PIM3,DLC1,OSBP2,,SMAD7
PAK4,EPHB3,CARS,RAD51,GPX4,DMBT1,PAK4,,DKK4
PCSK6,PTP4A1,CD81,RARB,RBM15,ERBB4,PCSK6,,DKK2
PEG3,REG4,CDKN1C,SOSTDC1,PSMD1,IRS1,PEG3,,DKK3
PIK3C2G,NRG1,CTSD,TFPI2,TTLL4,JAK1,PIK3C2G,,DKK1
PLG,ABCC2,IRF7,TKT,FOXF2,LAMA3,PLG,,MTDH
POR,ACTA2,KCNQ1OT1,TNFRSF18,SMYD3,MDC1,POR,,MIR499A
PPARG,ANGPT1,SIRT3,ABL2,MIR375,NLRP3,PPARG,,MADCAM1
PROS1,FOXM1,MPG,CFH,VIL1,PHIP,PROS1,,TNFRSF1A
PRR11,HPGDS,SSTR5,EPHA3,TRPM1,TEP1,PRR11,,MMP2
PTPN14,L1CAM,BTG3,NOTCH2,STK36,TIAM1,PTPN14,,HSPA8
PTPRF,PLA2G2A,PRDM1,SPTBN1,CD2,UNC5C,PTPRF,,TBXA2R
PTTG1,ROR2,COL10A1,TEP1,NUSAP1,ZIC1,PTTG1,,PLA2G7
RAB11A,SFRP5,FOXO3,TPO,CTDSP1,XDH,RAB11A,,CDC25C
RAD51AP1,SGK1,FRK,MSLN,AKR1B1,FOXO3,RAD51AP1,,CDC25B
RET,WNT2,DSE,CUL1,HNRNPC,ST7L,RET,,GKN1
RHOC,APOB,SOBP,NNMT,CD58,MAP3K7,RHOC,,SPP1
RPL41,NOTCH2,MMS22L,ADAM8,UGT1A9,GSTM2,RPL41,,GPX1
RPS9,RP1,PTPN22,MTTP,UGT1A7,IL5,RPS9,,GREM1
S100A10,SLIT2,MAGI3,ADAM12,IL22,NRAS,S100A10,,CXCR4
S100A11,PTGER4,PARK2,SAV1,GRB7,KCNQ1,S100A11,,FADD
S100A6,EXO1,RPS6KA1,HDAC4,KDM5A,CASQ2,S100A6,,PLAU
S1PR1,GDNF,DHDDS,LAMP1,TBX4,NCAM1,S1PR1,,SNHG1
SAT2,MAL,PROS1,NQO2,FRS2,MTA1,SAT2,,LINC00152
SDC2,FLT3,GALR1,PTP4A1,FOXJ3,APOA1,SDC2,,CAV1
SEC23A,SOX17,HPGD,IRS2,ADIPOR2,CYP2A6,SEC23A,,DLC1
SEPP1,ABCC8,CD7,SHC1,LAMA3,SPINT2,SEPP1,,SREBF1
SHBG,BUB1B,RAC3,SFRP2,PAF1,LAMA1,SHBG,,IGF2-AS
SHOX2,CD69,EFNA2,AHSG,SKIL,CCL21,SHOX2,,EZH2
SLC22A3,CES2,GPX4,GSTM2,PLEKHG2,CYP3A4,SLC22A3,,PNMA2
SLC38A1,CYP2W1,PALM,GYPC,HPR,ID4,SLC38A1,,MSH2
SLC4A3,DIO2,TCF3,LECT2,LAMC2,MLF1,SLC4A3,,AZGP1
SLC7A1,DTL,DOT1L,AKR7A3,SLC22A1,ADAM12,SLC7A1,,RFWD2
STC2,DUSP4,KISS1R,ANXA10,SFRP2,ADAM8,STC2,,TRPC6
STIP1,FUT1,SMYD3,ATF5,ITGA4,ADH1B,STIP1,,SMAD2
SULT1E1,IGFBP1,TERC,BUB1B,CASR,AQP4,SULT1E1,,SMAD3
TEC,LCN2,IKBKB,C8orf4,NEFM,AURKB,TEC,,CAD
THY1,LCP1,KAT6A,CBS,CCNA1,BNIP3,THY1,,VHL
TIAM1,MMP13,CUL2,CDC6,A2M,BTC,TIAM1,,CUL2
TNNT1,MT3,CIB1,CEACAM6,SERPINC1,BUB1B,TNNT1,,TET1
TOMM20,NDRG1,GLI2,CPA6,BNC1,CCL7,TOMM20,,XDH
TPM1,NKX2-1,SPG20,CXCR2,LAMA2,CTLA4,TPM1,,FOXP3
TRO,ODC1,APOA1,DCN,PENK,CTRL,TRO,,MCL1
TSPO,PIGR,TMEFF2,DLGAP5,LAMA1,CYP19A1,TSPO,,AXIN2
TST,PLA2G4A,LBP,E2F2,TLX2,DZIP1,TST,,AXIN1
TTK,PMAIP1,GRHL2,FBP1,ALDH1A3,F2RL1,TTK,,CXCL1
TUBB,PRKAR2B,NEFM,FOXP2,NPY,FHL1,TUBB,,RHOC
TYRP1,RRM2,HAL,GADD45B,GCK,GDNF,TYRP1,,TH
UBC,SYP,CCNA1,GADD45G,FOXD2,GGH,UBC,,PDCD10
UBE2C,TLR3,TRPC6,ID2,TRPC5,GSDMB,UBE2C,,MGAT3
UGP2,FZD10,NRG3,LAMA4,FXYD1,HEYL,UGP2,,SLC4A3
UHRF1,ZEB2,LAG3,LIPG,TSLP,HMGB3,UHRF1,,KRT19
ULBP1,CDKN2B,ENPEP,LYVE1,GPC6,HPGD,ULBP1,,SLC22A16
YWHAZ,JAG1,ALDH1A3,MCM2,GYPC,HPGDS,YWHAZ,,CASP6
,CTSA,MASP2,MMP10,ARHGAP10,IGSF11,KRAS,,MMP1
,NTSR1,TUSC3,MRC1,SLC32A1,JAK3,CTNNB1,,TRAF6
,IKZF3,APOC2,MT2A,LDOC1,KCNE2,MYC,,CARD18
,NES,ASPA,NR0B2,,MMP12,BCL2,,VWF
,TP63,CYP3A4,NR4A1,,MT3,EGF,,CDKN2D
,CYP2D6,GYPC,OSM,,MYLK,MET,,CDK6
,ASCL2,FIGF,PBK,,NGFR,CD44,,TIAM1
,ADH1B,APOC3,PLG,,PMAIP1,CASP3,,SPG7
,BDNF,ANGPTL3,PTP4A3,,PRKAR2B,EPHB2,,IQGAP1
,CACNA2D2,GLYAT,RET,,RORA,IL6,,TYMS
,CASP5,LDOC1,RND3,,S100A1,PCNA,,RARRES1
,CCL5,THPO,SATB1,,SELENBP1,NODAL,,MINA
,CD19,AJAP1,SELP,,SLC19A1,CDKN1A,,HSPD1
,DUSP1,MLF1,SFRP5,,SOX4,MMP9,,PEA15
,EAF2,RGS22,SIX1,,ST14,MTOR,,ING4
,FGF19,ADAMTS1,SLC1A2,,TK1,IL1B,,DNASE1
,HMGA1,ADIPOQ,SMAD6,,VLDLR,IL2,,TIAL1
,IER3,ANGPTL7,SOCS2,,WIF1,MUC2,,ING1
,MCM2,AQP4,SYP,,WNT9A,TNFSF10,,MAPK9
,MMP11,ARRB1,TFDP3,,ZNF217,IGF2,,OMP
,NOS3,BANF1,TNFRSF25,,AKAP12,CDX2,,MAPK3
,NUDT1,CADM3,WEE1,,CACNA2D3,IL10,,COPS5
,PDF,CARTPT,ABCA1,,COL6A3,NTN1,,MAZ
,PTTG1,CASP5,ABCC5,,DAAM2,GSTM1,,MIR17HG
,S100P,CBX8,AKAP12,,DCLK1,PTGS1,,COPS8
,SNCG,CDC20,ARID1A,,DSP,FN1,,CAPN2
,TFAP2A,CDCA3,ARID2,,DST,BRCA1,,BAG3
,AKAP12,CDH3,DCLK1,,FAT1,CAMP,,FGFR1
,DLC1,CDKN3,DMBT1,,FAT4,MMP7,,BAG4
,GLI3,CITED2,ERBB4,,FCGBP,CA2,,FOXL1
,PDGFRA,CKS2,FBXW7,,NFE2L2,CDKN1B,,CNTN6
,TNIK,CLDN4,HDAC9,,PTPRD,CDK2,,DLL1
,TRRAP,CNN1,LAMA3,,PTPRT,CDH1,,DLL3
,ALPI,CNR1,SOX9,,ROBO1,GSTP1,,JAG2
,RHOC,COL1A1,TPR,,SEMA5A,CRP,,NOTCH1
,TRIM33,CSE1L,VCAN,,TET1,CSF2,,CSHL1
,PNMA2,CSF2,HSPA8,,THBS2,CDK4,,DLL4
,MUM1,DACT3,BAG3,,TNIK,PI3,,JAG1
,LRP6,DIRAS1,CCNC,,TRRAP,FOXP3,,DNMT3A
,ARNT,E2F8,ADH5,,TTN,UGT1A1,,CD14
,LMNA,EFNB1,TMPRSS13,,VCAN,LIF,,LY6K
,S100A10,ENO1,CDK5,,ZBTB20,PLAU,,ADM
,GPA33,ENPP3,MAP3K7,,BVES,MAP2K4,,CYP2D6
,FASLG,ERN1,FOXP1,,NNMT,KRT20,,ARL1
,APOA1,FAM60A,THY1,,HPD,TNS1,,HNF1A
,AKR1C1,FANCA,WASF1,,CCNC,LGR5,,ZFHX3
,CCNA2,FANCG,STK11,,KCNQ1OT1,TNFRSF10B,,IFNG
,CCR2,FHL1,GPX4,,GTF2H3,PHIP,,MBD2
,CD38,FOLR1,APOC3,,CYP1B1,TERT,,CTHRC1
,CD46,FOXP1,RHEB,,FRK,NRAS,,IMPACT
,DSC2,GAB2,SOX1,,MIR409,LMOD1,,SOCS1
,FABP1,GATA5,TFDP1,,HINT1,AXIN2,,NEDD1
,FOSB,GGCT,RBP1,,UCN,CD40LG,,DSG2
,HSPD1,GHR,SLC10A1,,PPIC,KLF4,,PDCD5
,IFI6,GPT2,SOX17,,GTPBP4,ITK,,CDCA8
,IL24,HLF,CFTR,,RRM2,AREG,,AURKB
,LPO,HMGCS2,HPX,,CAPZA1,FGF2,,TEAD1
,MMP12,HN1,HFE2,,SOX11,SELE,,KRT7
,NTRK2,HOXA1,CCL21,,CRIP1,DNMT3B,,BECN1
,PDPN,HOXA10,C9,,LAMA4,MCL1,,PSMB5
,PGC,HOXB9,ARG1,,POPDC3,ACRC,,PSMB4
,PGF,HOXC9,ADAMTS1,,PARK2,IL1A,,IL24
,PSD,HOXD9,ADRB2,,GSTM3,CACNA1G,,DGCR6L
,PTGER2,IDH2,ATF3,,CLDN24,VEGFA,,LIMK1
,RGMA,IL22RA2,BMX,,HACE1,CYP3A4,,JAK3
,SLIT3,INCENP,CCNE2,,CD164,MMP1,,XIAP
,TLR7,JUP,CCR4,,FGF19,FASN,,XAF1
,BMPR2,KAT2B,CD200,,TMEM8B,PRLR,,LILRB2
,DMBT1,KIAA0101,CD226,,PDCD1LG2,CAV1,,HOXD10
,PTPN13,KIF22,CDH13,,LAMC2,PTP4A3,,CDH15
,PTPRT,KPNA2,CHKA,,FLT3,ERBB3,,RPS13
,SETD2,LTBP4,CLDN10,,GRHL2,OGG1,,EBP
,PTPN1,LY6E,CYP2B6,,CASR,ASAH1,,ELAVL1
,BMP7,MAOA,CYP7B1,,ITIH3,CASR,,CEBPB
,CDC25B,MAPK4,E2F8,,CCNA1,AURKA,,CSF2RB
,STK4,MCM10,ELAVL2,,TRPC6,ZEB1,,HNF1B
,ZNF217,MCM6,ESM1,,ADCY1,S100A4,,S100A4
,RDX,MYBL2,FEN1,,IKZF1,RBP5,,TWIST1
,CD101,NDC80,FGL1,,LRRC3B,CHEK2,,EPCAM
,UGT1A10,NFIA,FOXF1,,ENPEP,CRABP1,,TSPAN1
,SLN,OIP5,GATA6,,TUSC3,GDF15,,CD1A
,GHR,OLR1,HMGA1,,CYP2C9,PDCD1,,IL4
,CD247,OMD,HOXA13,,C9,SERPINE1,,ERF
,SFTPA1,OSR1,IL27,,FIGF,DLL3,,NF2
,S100A6,PBK,IRAK1,,APOC3,NFE2L2,,NUF2
,CYP2A6,PGR,KIAA0101,,ASCL2,CD28,,HYAL2
,ADH1C,PLA2G7,KIAA1524,,GLYAT,EGR3,,MSMB
,AGER,PRAME,KLF4,,THPO,NMB,,WNT5A
,AMH,PRDM16,L1CAM,,ADAMTS1,POU5F1,,GOLPH3
,ANKRD36B,PRICKLE2,LMNA,,ADRB2,WNT5A,,CACYBP
,BOC,PRKAG2,MIA2,,APOC1,MTR,,PHLPP1
,CALB2,PTH,MT1F,,ARC,GPNMB,,TMC1
,CCL3,PTTG1,MT1H,,BGN,TCF7,,XCL1
,CD22,RAD54B,NDC80,,BIK,FLG,,FST
,CYBB,RAD54L,NEK2,,CACNA2D2,VWF,,YBX1
,DCN,RFC4,NES,,CADM2,CYP24A1,,ZEB2
,DPEP1,RHOU,NTRK2,,CCR10,CD1A,,ZEB1
,ELANE,ROR1,OTC,,CDC20,MMP3,,KLF12
,FOLR1,S1PR1,PAX8,,CDC6,NCAM1,,TOX3
,FRZB,SCGN,PDCD1LG2,,CDCA8,IRS1,,MTHFR
,FZD3,SERPINA5,PDGFC,,CDCP1,LPA,,DCN
,GUCA2A,SERPINB5,REG1A,,CDH11,SOX2,,CIAPIN1
,HSPH1,SKP2,SFRP4,,CDKN1C,CA9,,MUT
,IL11,SLC2A1,SLA,,CHEK2,MACC1,,POLB
,IL6ST,SNX10,SLCO2B1,,CHRM3,CDC25C,,CCKBR
,KLK10,SORBS2,SNCG,,CITED2,HIST1H1C,,SERPINE1
,LEP,SOX10,SOCS6,,CKS2,PTPRC,,KLF5
,LIPG,TACC3,TK1,,CLDN5,CYP1B1,,USP22
,MUC12,TEK,TPX2,,CLDN7,CADM1,,CASC3
,NGFR,TFF2,TRAF2,,CLDN9,CTLA4,,HOXB3
,PLEK,THRB,UCN,,CPE,RAF1,,UGCG
,RUNX1,THSD4,UGT1A3,,CSRP1,APCS,,HOXB9
,TAC1,TK1,UGT1A4,,CST1,CLDN1,,FOXP1
,TAGLN,TLE2,VASH2,,CTF1,GZMB,,XRCC1
,TTR,TMED6,XDH,,CTHRC1,NEUROD1,,PMS2
,UHRF1,TNFRSF9,ACACA,,DSG2,BMP4,,CASP3
,WNT11,TRPM2,ASAP1,,EPHB4,CCR7,,SSTR2
,XRCC2,TTF2,BAP1,,ETV4,EP300,,ANXA2
,ZBTB16,TXNIP,CENPF,,EXO1,MUC6,,SMARCA1
,ABCC1,TYMP,CHL1,,FBXO32,CXCL1,,PBRM1
,EPHA3,UBE2S,CSMD1,,FEZ1,IL17A,,MSLN
,EPHA7,UBL3,DST,,FKBP5,IL18,,XPC
,LCT,UHRF1,EDNRB,,FOXA3,KLRK1,,ID1
,POLD1,UMOD,EPHA5,,FOXP2,WT1,,IGF1
,PROX1,UPRT,EPHA7,,FUT4,EPHA2,,F2RL1
,PTCH1,WDHD1,FAT1,,GADD45B,SPEN,,SLPI
,ROBO1,XRCC2,LIFR,,GAS1,SELP,,RASAL2
,TNC,ZNF331,LRP1B,,GHR,ALDH1A1,,MGP
,ATG7,,MAGI1,,GJB1,CHEK1,,GPX3
,ADA,,MUC6,,HES2,GRPR,,ST6GAL1
,TOMM34,,PBRM1,,HNF1B,KLK3,,VAV3
,ID1,,PHIP,,HOXB9,NOD2,,CTSE
,GSTM3,,PRKDC,,IGFBP1,TDGF1,,ADIPOR1
,BIRC7,,PTPRT,,IGFBP6,VHL,,ADIPOR2
,TCFL5,,ROBO1,,ITPR3,AMACR,,MSI1
,TUSC3,,ROS1,,KAT2B,KLF5,,ZNF703
,STC1,,STAB2,,KCNK16,CDC25A,,STMN1
,HM13,,ZBTB20,,KIAA0101,TNFRSF10A,,SMUG1
,GPX4,,PCSK7,,KIF20A,HES1,,LCK
,TNFRSF10C,,PLXDC1,,LAMB3,SPAG5,,FYN
,TNFRSF10D,,C19orf26,,LAMP3,ALK,,C1R
,LBP,,CKB,,LIMK1,SLC3A2,,CCAT1
,ARL4C,,HABP2,,LOXL2,BMP2,,HIC1
,SATB2,,GRB7,,LPAR2,CCL20,,GATA4
,LAMP3,,MAPK12,,LYN,SFN,,NID1
,RICTOR,,ADH4,,LZTS1,CYP19A1,,NID2
,SRF,,SPG7,,MAGEA6,CYP27B1,,SERPINB2
,AKT3,,ACAT1,,MYB,EPHB1,,ANGPTL4
,PER3,,CDK10,,NGB,EPHB4,,UVRAG
,ARG1,,ECHS1,,NTRK3,FAM3B,,SERPINB5
,GLYAT,,TYMP,,NUF2,GUCA2B,,DIABLO
,ADAMTS1,,PRTN3,,OCLN,KITLG,,DFFA
,AQP1,,HEPN1,,OSM,MED1,,CIB1
,C8orf4,,HIPK2,,POP1,TJP1,,TFF2
,CCL19,,FDX1,,PRDM5,UNC5C,,CMTM4
,CD33,,HMBS,,PVT1,TYMP,,CMTM3
,CD36,,TWIST2,,RAB25,SKP2,,WNT3A
,CNR2,,HEPACAM,,RPRM,C9,,AFAP1L2
,CXCL5,,EPHB6,,RTKN,CYP2C9,,TXNRD2
,DACH1,,AIMP1,,S100B,H19,,S100A6
,ENPP3,,OAT,,SERPINH1,LGALS4,,LRP6
,EPHA1,,ESAM,,SFTPC,SOSTDC1,,LRP5
,GPT,,EPHA1,,TAGLN,SPHK1,,CTF1
,HMGA2,,ULK1,,THY1,TEK,,CCND1
,ITGB3,,MLC1,,TNFRSF10A,TNFRSF9,,RYK
,KLK1,,CBL,,TPM1,UNC5A,,WISP1
,LPAR1,,ABR,,TRIM31,IGF2R,,RAD51
,LYVE1,,DKK2,,TWIST2,CSF1,,RAD51D
,MAF,,ADH1C,,TXNIP,CD2,,PIK3R3
,MARCKS,,PPP2R1B,,ULBP1,UGT1A7,,SOX9
,MIR17HG,,RPL9,,ULBP2,CTSS,,PPM1D
,NOS1,,FOXC1,,WT1,EPHX1,,ITGAV
,NR1H4,,RPS6KB1,,ADAMTS18,KLK6,,HOXA2
,NTRK3,,EFNA3,,ALPK2,NME1,,HOXD11
,OSM,,FOXQ1,,ANK3,PER1,,TCFL5
,PHLPP2,,HPR,,ASAP1,RECK,,HLTF
,RAD54L,,LAMC2,,ATG2B,SERPINB5,,CADM1
,RBMS3,,SCTR,,BAP1,SLC19A1,,MICA
,RSPO1,,SEMA3B,,BICC1,TRPM2,,KLRK1
,SFRP4,,LBP,,CACNA1G,TWIST1,,CYP2E1
,SMPD1,,ITGA4,,CASP8AP2,FBXW7,,PRKCA
,TFAP4,,CASR,,CELSR1,STK11,,HADHA
,TGFBR3,,PER3,,CELSR2,S100A9,,NEDD9
,WNT3,,NRG1,,CELSR3,CDH3,,PAK1
,ALB,,CCNA1,,CENPF,CLU,,MACROD2
,BCL9L,,TRPC6,,CHD1,MIF,,PTPRD
,DSCAM,,SPINT2,,CHD5,MPP2,,RBFOX1
,GNAS,,NRG3,,CHD8,SULT1A1,,EIF6
,LAMA2,,KNG1,,CHRM2,UCN,,TRAM1
,MYH11,,UGT2B4,,CIT,RNF43,,CYR61
,MYH9,,MASP2,,COL11A1,PER2,,IFITM1
,NOTCH3,,GCK,,COL4A2,CSE1L,,HLX
,PLCE1,,TUSC3,,CTNNA2,MAP1LC3A,,BDKRB2
,THBS2,,ACOX2,,DNAH8,LPL,,MIR29A
,PSMA7,,BMP6,,EDNRB,PARK2,,ICAM1
,ING2,,BASP1,,EPB41L3,CCND2,,MIR130B
,TGM2,,RBP5,,EPHA3,S100A8,,SPINT2
,NFATC2,,ADK,,EPHA7,AKR1B10,,DDC
,UBE2C,,AFM,,FAT2,ATOH1,,NAV1
,TPX2,,AKR1C3,,FAT3,DKK4,,TCERG1L
,FGF20,,ANO1,,FCRL3,EREG,,KCNK15
,ZBP1,,APLN,,FLNA,HMOX1,,MAPRE3
,WNT2B,,ASPM,,HSPG2,KL,,ALOX12
,UGT1A8,,ASS1,,JMJD1C,KLK7,,ANXA3
,MTAP,,B4GALNT1,,LRP1B,MYCN,,MIR382
,CD1D,,BCHE,,MAP2,SLC5A8,,TNS1
,HRG,,BNIPL,,MED12,TLR9,,HSPB1
,TXNIP,,BOC,,MED23,ADCY9,,NOD2
,PTK7,,CA12,,MPDZ,ERBB4,,PKD1
,ST6GAL1,,CABYR,,MYH9,MAP3K1,,TCF7L2
,AIM2,,CAP2,,MYO3A,PGR,,PLCE1
,S100A11,,CCL19,,MYO5A,PFDN4,,PROCR
,NTRK1,,CCL26,,NAV1,UGT1A9,,BIRC3
,FCGR3A,,CCT3,,NID1,CSF2RB,,STH
,OSMR,,CD8A,,NOTCH3,CXCL10,,OPCML
,EFNA1,,CDA,,PCDH17,EIF4EBP1,,WAPL
,LAMC2,,CDC20,,PCDH7,FGFR4,,TFPI2
,ABCB5,,CKS2,,PCDH8,FZD1,,IRF7
,ACHE,,CSF1R,,PROX1,GAST,,IGFBP6
,AQP5,,CTH,,PTPN13,GGCT,,DMRT1
,B4GALNT2,,CX3CR1,,PTPRB,GPX2,,ADCY1
,BAMBI,,CXCL6,,PTPRZ1,GSTA1,,DTYMK
,CA1,,CXCR1,,RNF43,HPGD,,CXCR3
,CDC20,,CYBB,,RP1,MALAT1,,CXCL9
,CDT1,,CYP4F3,,SEMA6A,PAH,,ELF4
,CLDN2,,DAB1,,SMARCA4,TRAP1,,SPTBN1
,CPE,,DBT,,SORCS3,BCL9,,MMP11
,CPM,,DCX,,SPTAN1,BLM,,RAD9A
,CSF1R,,DIAPH3,,TACC2,JAK1,,HUS1
,CTRL,,DLX4,,TLN2,LAMA1,,CLDN4
,CXCL2,,DUOX1,,TPO,NGF,,IL5
,DCX,,DUSP6,,VPS13A,ADIPOQ,,IL7R
,DKK2,,ECM1,,VPS13B,CCL21,,VEGFA
,EGLN3,,ECT2,,VPS13C,AXL,,TPR
,ENPP1,,ENAH,,ZFP64,BUB1,,TFPI
,ENPP2,,ENPP1,,WHSC1,HPSE,,CALU
,ETV4,,ERRFI1,,TTK,MST1,,PTK2
,FGF18,,FANCD2,,ITGAV,MAP2,,PXN
,FOLH1,,FDPS,,EEF1A1,PLCG1,,STAT3
,GALNT12,,FGR,,MIR382,NCOA3,,RAB32
,GCSH,,FOSB,,HSD3B1,VCAM1,,SPTAN1
,INHBB,,FPR2,,TCF7,APC2,,MID1
,ITGA2,,FUT2,,MYT1L,UGT1A6,,TNFRSF6B
,KIAA1524,,FYN,,SLC16A1,SST,,MYEOV
,KLK11,,GALNT14,,SLC16A4,SHC1,,ID4
,LTF,,GDA,,CKB,EPHB3,,SCGN
,MT1G,,GDF2,,PROK1,PTP4A1,,DCLK1
,NKD1,,GEM,,PPP1CB,REG4,,TEK
,NOX4,,GNAO1,,SMAP1,NRG1,,CD2
,PIWIL1,,GPAA1,,SRD5A2,ACTA2,,MLX
,PLG,,HAS2,,P2RX7,ANGPT1,,ARAF
,PPA1,,HHIP,,HADHA,HPGDS,,GJB1
,PYY,,HPGD,,TRAF3,L1CAM,,MALAT1
,RAD54B,,HSD17B2,,WISP3,PLA2G2A,,FCGRT
,RIPK2,,IGDCC3,,MACROD2,ROR2,,NDRG2
,S100B,,IGF2BP1,,TP53I3,SFRP5,,CCND2
,SLC10A2,,IL1RL1,,PPARA,SGK1,,GPC3
,SLC7A5,,ITGA7,,ING2,WNT2,,VANGL1
,SNCA,,ITGA9,,NCOA1,NOTCH2,,CASQ1
,SPARCL1,,ITGB8,,GJB2,RP1,,VANGL2
,SSTR1,,KIF14,,GJB6,PTGER4,,CASQ2
,TBX21,,KIF20A,,INF2,EXO1,,MUC3A
,TUBB3,,KIFC1,,SLC22A16,GDNF,,LOX
,UCHL1,,KLF11,,GRIK2,ABCC8,,FLNC
,ULBP2,,KPNA2,,ODC1,CD69,,PADI4
,VAV1,,LIPC,,MARCKS,CYP2W1,,MDM4
,VIPR1,,LOXL2,,HELT,DIO2,,MACC1
,A2M,,MAGEC1,,NT5E,DUSP4,,MORC2
,ACACA,,MBL2,,VPS37B,FUT1,,PDCD2
,COL12A1,,MMP11,,ATG12,LCN2,,CRADD
,CTNND1,,MMP12,,MARK3,LCP1,,HDAC1
,HDAC9,,MPO,,ST8SIA4,MMP13,,FOXD3
,MED12,,MSRA,,TTF2,MT3,,SEC11A
,MUC17,,MT1E,,POU3F2,NDRG1,,CLDN18
,NCOR1,,NAMPT,,CRIM1,NKX2-1,,IRX2
,PCM1,,NOG,,WWC2,ODC1,,GLG1
,PKD1,,NR4A2,,CCDC62,PIGR,,HLA-H
,ROBO2,,OSMR,,EP400,PLA2G4A,,E2F1
,SACS,,PADI4,,DRAM2,PMAIP1,,CD69
,TMEM132D,,PBLD,,SDC1,PRKAR2B,,PGC
,TPO,,PFKFB4,,TNFAIP2,RRM2,,ODC1
,VCAN,,PLA2G6,,HIPK1,SYP,,PKLR
,TNFRSF6B,,PLK3,,CNDP2,TLR3,,BRCC3
,MYBL2,,PON1,,DLK1,FZD10,,TOP2A
,OGFR,,PRC1,,GPRC5A,ZEB2,,E2F4
,CDH22,,PRKAR2B,,NLRC4,CDKN2B,,PSMB8
,SLPI,,PROM1,,CSF1,CTSA,,POU2F3
,MAPK12,,RACGAP1,,NGF,NTSR1,,FZD5
,RASSF2,,RBMS3,,SEC63,IKZF3,,DVL1
,ADRM1,,RFC4,,YWHAE,NES,,KLF4
,ING5,,RGS5,,DYNC1H1,TP63,,RHOU
,SARS,,RRM2,,ROCK2,ASCL2,,KLF2
,VANGL1,,S100A8,,MAPRE3,ADH1B,,STAT1
,PTK6,,SCARA5,,ADCY3,BDNF,,RCC2
,UNC5D,,SCRIB,,YY1,CACNA2D2,,PPIC
,GSTM2,,SERPINA4,,NDN,CASP5,,ALDOA
,AHCY,,SFN,,PREP,CCL5,,ALDOB
,SLC9A1,,SLC22A3,,VPS33A,CD19,,FZD7
,KCNA3,,SLC28A1,,OSR1,DUSP1,,WNT3
,ACR,,SLC2A3,,NCAPH2,EAF2,,SOX17
,CEBPB,,SLC38A2,,DRD2,IER3,,NKD2
,FOXA2,,SOX6,,VSNL1,MMP11,,NKD1
,EFNA2,,SPOCK1,,AHCYL1,NOS3,,WNT7B
,RAB25,,SRGN,,ACR,NUDT1,,WNT9B
,SMYD3,,SSX2,,ME1,PDF,,WNT9A
,USF1,,STAB1,,GNAI3,S100P,,WNT11
,IL6R,,SULT1A1,,PDSS2,SNCG,,FZD10
,KNG1,,SULT1E1,,PDLIM4,TFAP2A,,FZD1
,CHRM3,,SYT13,,PRDM1,AKAP12,,FZD8
,TAGLN2,,TGFBR3,,PIWIL1,GLI3,,WNT8B
,DDR2,,TNFRSF11B,,PGAM5,PDGFRA,,WNT8A
,EFNA3,,TROAP,,RAD50,TNIK,,FZD3
,LGALS8,,UBD,,MAGI3,TRRAP,,WNT10B
,SEPP1,,UBE2C,,HDAC10,ALPI,,FZD6
,ETV5,,UGT2B7,,RBFOX1,TRIM33,,GIPC3
